archive_id,archive_name,landing_page,corpus_roles,coverage,license_or_reuse_status,bulk_access,status,next_action,notes
bibit_texts,Biblioteca Italiana / BibIt,http://www.bibliotecaitaliana.it/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,1387 composition records and 1373 selected canonical TEI records audited from origins through Ottocento,Personal/scientific non-commercial use; public reuse requires Biblioteca Italiana citation; commercial reuse prohibited,Solr metadata plus per-record TEI XML,processed_build_complete,Perform cross-archive deduplication and fixed sonnet split construction,Resolved v1 contains 1316 non-empty record texts and 20331 poems in 8 verified shards; dialect and Franco-Italian evidence stays outside the core and raw TEI remains local.
bibit_scrittori_italia,Biblioteca Italiana - Scrittori d'Italia,http://www.bibliotecaitaliana.it/,general historical | poetry | sonnets,179 works in 287 digitized volumes,not_established_for_corpus_text; Retain Biblioteca Italiana/Laterza provenance; image availability only.,image_only_no_ocr_or_transcription,closed_excluded_scan_only_overlap_risk,No further extraction; retain as edition/source-scan reference.,"179 works; 287 volumes; 125,171 image-text pages; No reusable transcription layer; OCR would duplicate higher-quality canonical text."
bibit_incunaboli,Biblioteca Italiana - Incunaboli in volgare,http://www.bibliotecaitaliana.it/,general historical | poetry | sonnets,More than 1600 incunabula and 200000 images,not_established_for_corpus_text; Record library and item provenance for any future scan use.,image_only_no_ocr_or_transcription,blocked_ocr_and_item_rights_gate,Do not audit pages now; require a later approved OCR-quality and item-rights experiment.,"More than 1,600 incunabula; about 70 libraries; more than 200,000 images; No corrected text layer, corpus reuse grant, or measured OCR quality."
project_gutenberg,Project Gutenberg Italian,https://www.gutenberg.org/browse/languages/it,general historical | non-sonnet poetry | sonnets | Ottocento bridge,1112 Italian-language records in the 2026-08-09 Gutendex snapshot,Record-level public-domain status and Gutenberg terms required,Gutendex catalog plus TXT/EPUB/RDF,resolved_role_specific_build_complete,Carry the resolved Gutenberg build into cross-archive canonicalization after Wikisource Liber Liber and remaining registry audits,The deterministic build materializes 566 standard sources with 292353625 retained source characters and 499 standard sonnets; 15 canonical editions and four sonnet duplicates are excluded; 106 detector false positives stay in broader text; six conditioned sources and two conditioned sonnets are physically separate and inactive; final exact and near checks against 1352 BibIt/current references pass; poem authors remain unresolved at candidate level; no V7 split mixture weight Ottocento exposure cache deletion or GPU work is active.
italian_wikisource,Italian Wikisource,https://it.wikisource.org/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,117297 main-namespace pages and 22165 roots inventoried; all 4641 scan-anchored roots and 2095 checkpoint-4C review rows resolved; inactive build contains 2452 broader records and 987 standard-sonnet candidates,CC BY-SA 4.0 Wikisource transcription terms plus exact per-scan Commons and edition rights; 1175 of 1282 scans pass and 107 fail closed,MediaWiki API plus SHA-1-pinned metadata/current-revision dumps and cache-backed Commons/Index evidence,resolved_role_specific_build_complete_inactive,Carry the frozen Wikisource build into final cross-archive canonicalization after Liber Liber and remaining-registry closure,Checkpoint 4D accounts for all roots in rights root segment sonnet and review ledgers; four deterministic inactive shards contain 30751389 broader and 516711 sonnet characters; final exact near cross-corpus and protected-V6 gates pass; conditioned and prior-held roots remain outside the build; no activation V7 split mixture cache deletion or GPU work occurred.
liber_liber,Liber Liber / Progetto Manuzio,https://liberliber.it/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,9332 public WordPress pages; 6928 book works; all 129 probed standard-Italian records resolved; inactive build contains 91 broader records and 40 unique sonnets,CC BY-NC-SA 4.0 digital editions with attribution and share-alike obligations,Complete cached WordPress metadata inventory plus 129 reusable local TXT-ZIP/ODT archives and cleaned probe texts,resolved_role_specific_build_complete_inactive,Carry the frozen Liber Liber build into checkpoint 7 after remaining-registry closure,Checkpoint 5C materializes 26515621 broader characters and 20017 sonnet characters in four bounded shards; excludes 30 complete canonical duplicates 3 alternate Vita nuova editions 4 composite-covered sources 22 sonnet duplicates and 2 protected sonnets; final exact near cross-corpus protected-V6 range hash and recovery gates pass; two cache-backed builds reproduce all 22 checkpoint artifacts; all 151 conditioned rows remain outside; no activation V7 split mixture cache deletion or GPU work occurred.
eltec_italian,ELTeC Italian novel collection,https://github.com/COST-ELTeC/ELTeC-ita,Ottocento bridge,Nineteenth- and early-twentieth-century Italian novels,permitted_with_conditions; Texts are public domain; attribute CC BY 4.0 markup and named contributors.,git_tei_release_bounded_inventory,eligible_bounded_inventory_inactive,Checkpoint 6B may inventory the 36 records without activating or downloading corpus text through this decision alone.,"36 level-1 novels; No blocker to metadata/source inventory; record-level dates, sources, and duplicate status remain unresolved."
internet_archive,Internet Archive,https://archive.org/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,Large scan and OCR holdings,"item_level_only_not_established; Honor each item license/rights field, source credit, rate limits, and removal duties.",advanced_search_metadata_only,eligible_bounded_inventory_inactive,"Checkpoint 6B may run a bounded metadata inventory only, prioritizing explicit reusable rights and corrected OCR.","99,424 broad language/date metadata hits in the pinned 2026-08-11 query; No blanket corpus license; item rights, corrected-text availability, and OCR quality must pass separately."
gallica,Gallica / Bibliotheque nationale de France,https://gallica.bnf.fr/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,Italian books and manuscripts in French national collections,metadata_only_text_not_established; Credit BnF and metadata update date under Etalab 2.0; obey exact Gallica/item content terms.,sru_metadata_only,eligible_bounded_inventory_inactive,Checkpoint 6B may inventory metadata only; no OCR/full text until content and item rights pass.,SRU inventory supports language/type queries and 0-100 OCR-quality metadata; candidate count not retrievable during this audit; Digitized-document reuse requires exact Gallica content terms or rights-holder authorization.
internet_culturale,Internet Culturale,https://www.internetculturale.it/,general historical | non-sonnet poetry | sonnets | Ottocento bridge,Italian library digitization projects,permitted_noncommercial_with_item_override; Attribute Internet Culturale and owning institutions; non-commercial use; ShareAlike; retain item-specific terms.,collection_then_item_metadata_inventory,eligible_bounded_inventory_inactive,Checkpoint 6B may inventory text-bearing collections and item terms without acquiring corpus text.,291 digital collections in the official directory; Partner/item terms and actual primary-text download formats remain unresolved.
